dt,AverageTemperature
1815-01-01,23.144
1815-02-01,23.891
1815-03-01,24.263
1815-04-01,27.431
1815-05-01,28.397
1815-06-01,25.891
1815-07-01,26.283
1815-08-01,26.012
1815-09-01,26.339
1815-10-01,25.608
1815-11-01,25.668
1815-12-01,23.794
1816-01-01,23.55
1816-02-01,21.01
1816-03-01,24.001
1816-04-01,26.163
1816-05-01,28.471
1816-06-01,27.349
1816-07-01,25.088
1816-08-01,25.195
1816-09-01,25.243
1816-10-01,24.881
1816-11-01,26.04
1816-12-01,24.26
1817-01-01,23.094
1817-02-01,23.845
1817-03-01,24.899
1817-04-01,26.781
1817-05-01,27.455
1817-06-01,26.575
1817-07-01,25.729
1817-08-01,26.248
1817-09-01,24.385
1817-10-01,25.272
1817-11-01,26.026
1817-12-01,23.876
1818-01-01,23.447
1818-02-01,22.755
1818-03-01,25.419
1818-04-01,28.035
1818-05-01,29.263
1818-06-01,28.62
1818-07-01,25.402
1818-08-01,24.999
1818-09-01,25.606
1818-10-01,25.516
1818-11-01,26.404
1818-12-01,24.73
1819-01-01,21.977
1819-02-01,22.49
1819-03-01,23.7
1819-04-01,26.14
1819-05-01,27.809
1819-06-01,27.827
1819-07-01,26.03
1819-08-01,25.808
1819-09-01,25.928
1819-10-01,27.071
1819-11-01,26.985
1819-12-01,24.625
1820-01-01,22.249
1820-02-01,22.773
1820-03-01,24.601
1820-04-01,27.778
1820-05-01,28.03
1820-06-01,27.681
1820-07-01,26.069
1820-08-01,25.177
1820-09-01,26.111
1820-10-01,26.426
1820-11-01,26.456
1820-12-01,24.519
1821-01-01,24.767
1821-02-01,24.588
1821-03-01,26.001
1821-04-01,26.102
1821-05-01,28.62
1821-06-01,27.652
1821-07-01,26.136
1821-08-01,26.195
1821-09-01,25.422
1821-10-01,26.717
1821-11-01,27.224
1821-12-01,25.292
1822-01-01,24.45
1822-02-01,25.188
1822-03-01,27.393
1822-04-01,27.102
1822-05-01,28.405
1822-06-01,27.762
1822-07-01,26.726
1822-08-01,25.494
1822-09-01,25.638
1822-10-01,26.085
1822-11-01,26.201
1822-12-01,24.382
1823-01-01,24.089
1823-02-01,23.792
1823-03-01,25.457
1823-04-01,27.294
1823-05-01,28.441
1823-06-01,28.883
1823-07-01,27.093
1823-08-01,25.788
1823-09-01,25.125
1823-10-01,26.667
1823-11-01,26.363
1823-12-01,25.675
1824-01-01,24.674
1824-02-01,24.117
1824-03-01,25.795
1824-04-01,27.484
1824-05-01,28.573
1824-06-01,28.777
1824-07-01,28.243
1824-08-01,26.421
1824-09-01,27.031
1824-10-01,26.27
1824-11-01,27.342
1824-12-01,27.045
1825-01-01,24.677
1825-02-01,24.316
1825-03-01,25.633
1825-04-01,27.835
1825-05-01,28.57
1825-06-01,28.559
1825-07-01,26.994
1825-08-01,25.729
1825-09-01,26.073
1825-10-01,26.777
1825-11-01,27.821
1825-12-01,25.422
1826-01-01,24.431
1826-02-01,23.194
1826-03-01,25.828
1826-04-01,27.794
1826-05-01,29.495
1826-06-01,27.693
1826-07-01,27.27
1826-08-01,25.575
1826-09-01,26.16
1826-10-01,27.247
1826-11-01,27.845
1826-12-01,26.911
1827-01-01,25.095
1827-02-01,24.45
1827-03-01,26.132
1827-04-01,28.053
1827-05-01,28.458
1827-06-01,28.339
1827-07-01,27.382
1827-08-01,26.127
1827-09-01,25.847
1827-10-01,26.823
1827-11-01,27.807
1827-12-01,25.421
1828-01-01,23.608
1828-02-01,23.6
1828-03-01,25.657
1828-04-01,27.116
1828-05-01,28.531
1828-06-01,29.081
1828-07-01,27.257
1828-08-01,26.13
1828-09-01,25.086
1828-10-01,26.956
1828-11-01,27.69
1828-12-01,25.827
1829-01-01,24.141
1829-02-01,22.953
1829-03-01,25.365
1829-04-01,26.972
1829-05-01,28.774
1829-06-01,28.213
1829-07-01,26.782
1829-08-01,25.99
1829-09-01,25.815
