dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1805-07-01,27.137,1.582,Colombo,Sri Lanka
1805-08-01,27.589,1.076,Colombo,Sri Lanka
1805-09-01,27.104,1.937,Colombo,Sri Lanka
1805-10-01,26.465,2.059,Colombo,Sri Lanka
1805-11-01,26.88,2.874,Colombo,Sri Lanka
1805-12-01,26.477,1.373,Colombo,Sri Lanka
1806-01-01,24.361,1.79,Colombo,Sri Lanka
1806-02-01,23.696,2.348,Colombo,Sri Lanka
1806-03-01,25.034,1.827,Colombo,Sri Lanka
1806-04-01,27.26,2.716,Colombo,Sri Lanka
1806-05-01,28.957,1.676,Colombo,Sri Lanka
1806-06-01,27.426,1.686,Colombo,Sri Lanka
1806-07-01,27.155,1.465,Colombo,Sri Lanka
1806-08-01,27.3,1.629,Colombo,Sri Lanka
1806-09-01,28.089,1.889,Colombo,Sri Lanka
1806-10-01,27.395,1.404,Colombo,Sri Lanka
1806-11-01,27.364,1.936,Colombo,Sri Lanka
1806-12-01,26.031,2.028,Colombo,Sri Lanka
1807-01-01,23.365,2.338,Colombo,Sri Lanka
1807-02-01,23.375,3.032,Colombo,Sri Lanka
1807-03-01,,,Colombo,Sri Lanka
1807-04-01,,,Colombo,Sri Lanka
1807-05-01,26.894,1.599,Colombo,Sri Lanka
1807-06-01,29.009,1.494,Colombo,Sri Lanka
1807-07-01,27.866,2.072,Colombo,Sri Lanka
1807-08-01,26.897,1.803,Colombo,Sri Lanka
1807-09-01,27.613,1.587,Colombo,Sri Lanka
1807-10-01,27.121,1.278,Colombo,Sri Lanka
1807-11-01,27.173,2.141,Colombo,Sri Lanka
1807-12-01,26.686,1.642,Colombo,Sri Lanka
1808-01-01,,,Colombo,Sri Lanka
1808-02-01,,,Colombo,Sri Lanka
1808-03-01,,,Colombo,Sri Lanka
1808-04-01,,,Colombo,Sri Lanka
1808-05-01,,,Colombo,Sri Lanka
1808-06-01,,,Colombo,Sri Lanka
1808-07-01,,,Colombo,Sri Lanka
1808-08-01,,,Colombo,Sri Lanka
1808-09-01,,,Colombo,Sri Lanka
1808-10-01,,,Colombo,Sri Lanka
1808-11-01,,,Colombo,Sri Lanka
1808-12-01,,,Colombo,Sri Lanka
1809-01-01,,,Colombo,Sri Lanka
1809-02-01,,,Colombo,Sri Lanka
1809-03-01,,,Colombo,Sri Lanka
1809-04-01,,,Colombo,Sri Lanka
1809-05-01,,,Colombo,Sri Lanka
1809-06-01,,,Colombo,Sri Lanka
1809-07-01,,,Colombo,Sri Lanka
1809-08-01,,,Colombo,Sri Lanka
1809-09-01,,,Colombo,Sri Lanka
1809-10-01,,,Colombo,Sri Lanka
1809-11-01,,,Colombo,Sri Lanka
1809-12-01,,,Colombo,Sri Lanka
1810-01-01,,,Colombo,Sri Lanka
1810-02-01,,,Colombo,Sri Lanka
1810-03-01,,,Colombo,Sri Lanka
1810-04-01,,,Colombo,Sri Lanka
1810-05-01,,,Colombo,Sri Lanka
1810-06-01,,,Colombo,Sri Lanka
1810-07-01,,,Colombo,Sri Lanka
1810-08-01,,,Colombo,Sri Lanka
1810-09-01,,,Colombo,Sri Lanka
1810-10-01,,,Colombo,Sri Lanka
1810-11-01,,,Colombo,Sri Lanka
1810-12-01,,,Colombo,Sri Lanka
1811-01-01,,,Colombo,Sri Lanka
1811-02-01,,,Colombo,Sri Lanka
1811-03-01,,,Colombo,Sri Lanka
1811-04-01,,,Colombo,Sri Lanka
1811-05-01,,,Colombo,Sri Lanka
1811-06-01,,,Colombo,Sri Lanka
1811-07-01,,,Colombo,Sri Lanka
1811-08-01,,,Colombo,Sri Lanka
1811-09-01,,,Colombo,Sri Lanka
1811-10-01,,,Colombo,Sri Lanka
1811-11-01,,,Colombo,Sri Lanka
1811-12-01,,,Colombo,Sri Lanka
1812-01-01,,,Colombo,Sri Lanka
1812-02-01,,,Colombo,Sri Lanka
1812-03-01,,,Colombo,Sri Lanka
1812-04-01,,,Colombo,Sri Lanka
1812-05-01,,,Colombo,Sri Lanka
1812-06-01,,,Colombo,Sri Lanka
1812-07-01,,,Colombo,Sri Lanka
1812-08-01,,,Colombo,Sri Lanka
1812-09-01,,,Colombo,Sri Lanka
1812-10-01,,,Colombo,Sri Lanka
1812-11-01,,,Colombo,Sri Lanka
1812-12-01,,,Colombo,Sri Lanka
1813-01-01,22.003,3.062,Colombo,Sri Lanka
1813-02-01,23.342,1.43,Colombo,Sri Lanka
1813-03-01,23.615,5.549,Colombo,Sri Lanka
1813-04-01,27.842,1.389,Colombo,Sri Lanka
1813-05-01,29.546,4.792,Colombo,Sri Lanka
1813-06-01,27.665,2.322,Colombo,Sri Lanka
1813-07-01,26.952,1.717,Colombo,Sri Lanka
1813-08-01,25.711,1.17,Colombo,Sri Lanka
1813-09-01,26.856,1.792,Colombo,Sri Lanka
1813-10-01,26.775,1.33,Colombo,Sri Lanka
1813-11-01,27.744,1.729,Colombo,Sri Lanka
1813-12-01,24.185,1.767,Colombo,Sri Lanka
1814-01-01,22.785,3.014,Colombo,Sri Lanka
1814-02-01,23.301,1.256,Colombo,Sri Lanka
1814-03-01,24.277,1.885,Colombo,Sri Lanka
1814-04-01,26.493,1.452,Colombo,Sri Lanka
1814-05-01,,,Colombo,Sri Lanka
1814-06-01,28.363,1.729,Colombo,Sri Lanka
1814-07-01,25.805,2.853,Colombo,Sri Lanka
1814-08-01,25.789,1.473,Colombo,Sri Lanka
1814-09-01,25.757,1.275,Colombo,Sri Lanka
1814-10-01,26.119,3.247,Colombo,Sri Lanka
1814-11-01,27.706,4.578,Colombo,Sri Lanka
1814-12-01,26.784,5.039,Colombo,Sri Lanka
1815-01-01,23.144,2.456,Colombo,Sri Lanka
1815-02-01,23.891,4.673,Colombo,Sri Lanka
1815-03-01,24.263,3.129,Colombo,Sri Lanka
1815-04-01,27.431,3.052,Colombo,Sri Lanka
1815-05-01,28.397,3.295,Colombo,Sri Lanka
1815-06-01,25.891,1.604,Colombo,Sri Lanka
1815-07-01,26.283,2.77,Colombo,Sri Lanka
1815-08-01,26.012,1.59,Colombo,Sri Lanka
1815-09-01,26.339,1.299,Colombo,Sri Lanka
1815-10-01,25.608,2.756,Colombo,Sri Lanka
1815-11-01,25.668,2.152,Colombo,Sri Lanka
1815-12-01,23.794,2.056,Colombo,Sri Lanka
1816-01-01,23.55,4.408,Colombo,Sri Lanka
1816-02-01,21.01,2.038,Colombo,Sri Lanka
1816-03-01,24.001,1.899,Colombo,Sri Lanka
1816-04-01,26.163,3.564,Colombo,Sri Lanka
1816-05-01,28.471,1.925,Colombo,Sri Lanka
1816-06-01,27.349,1.91,Colombo,Sri Lanka
1816-07-01,25.088,1.751,Colombo,Sri Lanka
1816-08-01,25.195,1.149,Colombo,Sri Lanka
1816-09-01,25.243,1.178,Colombo,Sri Lanka
1816-10-01,24.881,5.092,Colombo,Sri Lanka
1816-11-01,26.04,5.807,Colombo,Sri Lanka
1816-12-01,24.26,1.767,Colombo,Sri Lanka
1817-01-01,23.094,4.185,Colombo,Sri Lanka
1817-02-01,23.845,2.668,Colombo,Sri Lanka
1817-03-01,24.899,1.98,Colombo,Sri Lanka
1817-04-01,26.781,1.905,Colombo,Sri Lanka
1817-05-01,27.455,2.172,Colombo,Sri Lanka
1817-06-01,26.575,1.71,Colombo,Sri Lanka
1817-07-01,25.729,1.751,Colombo,Sri Lanka
1817-08-01,26.248,1.701,Colombo,Sri Lanka
1817-09-01,24.385,2.291,Colombo,Sri Lanka
1817-10-01,25.272,2.549,Colombo,Sri Lanka
1817-11-01,26.026,2.261,Colombo,Sri Lanka
1817-12-01,23.876,2.992,Colombo,Sri Lanka
1818-01-01,23.447,3.065,Colombo,Sri Lanka
1818-02-01,22.755,2.157,Colombo,Sri Lanka
1818-03-01,25.419,1.902,Colombo,Sri Lanka
1818-04-01,28.035,4.713,Colombo,Sri Lanka
1818-05-01,29.263,2.714,Colombo,Sri Lanka
1818-06-01,28.62,3.571,Colombo,Sri Lanka
1818-07-01,25.402,2.974,Colombo,Sri Lanka
1818-08-01,24.999,2.144,Colombo,Sri Lanka
1818-09-01,25.606,1.971,Colombo,Sri Lanka
1818-10-01,25.516,2.026,Colombo,Sri Lanka
1818-11-01,26.404,4.507,Colombo,Sri Lanka
1818-12-01,24.73,1.739,Colombo,Sri Lanka
1819-01-01,21.977,2.438,Colombo,Sri Lanka
1819-02-01,22.49,2.942,Colombo,Sri Lanka
1819-03-01,23.7,5.485,Colombo,Sri Lanka
1819-04-01,26.14,1.532,Colombo,Sri Lanka
1819-05-01,27.809,1.132,Colombo,Sri Lanka
1819-06-01,27.827,1.821,Colombo,Sri Lanka
1819-07-01,26.03,1.211,Colombo,Sri Lanka
1819-08-01,25.808,1.768,Colombo,Sri Lanka
1819-09-01,25.928,1.016,Colombo,Sri Lanka
1819-10-01,27.071,1.763,Colombo,Sri Lanka
1819-11-01,26.985,1.509,Colombo,Sri Lanka
1819-12-01,24.625,1.596,Colombo,Sri Lanka
1820-01-01,22.249,4.312,Colombo,Sri Lanka
1820-02-01,22.773,1.648,Colombo,Sri Lanka
1820-03-01,24.601,1.686,Colombo,Sri Lanka
1820-04-01,27.778,1.211,Colombo,Sri Lanka
1820-05-01,28.03,1.584,Colombo,Sri Lanka
1820-06-01,27.681,1.458,Colombo,Sri Lanka
1820-07-01,26.069,2.25,Colombo,Sri Lanka
1820-08-01,25.177,2.305,Colombo,Sri Lanka
1820-09-01,26.111,1.719,Colombo,Sri Lanka
1820-10-01,26.426,1.394,Colombo,Sri Lanka
1820-11-01,26.456,1.675,Colombo,Sri Lanka
1820-12-01,24.519,2.27,Colombo,Sri Lanka
1821-01-01,24.767,2.685,Colombo,Sri Lanka
1821-02-01,24.588,3.343,Colombo,Sri Lanka
1821-03-01,26.001,1.872,Colombo,Sri Lanka
1821-04-01,26.102,1.749,Colombo,Sri Lanka
1821-05-01,28.62,1.628,Colombo,Sri Lanka
1821-06-01,27.652,2.464,Colombo,Sri Lanka
1821-07-01,26.136,1.731,Colombo,Sri Lanka
1821-08-01,26.195,1.612,Colombo,Sri Lanka
1821-09-01,25.422,1.345,Colombo,Sri Lanka
1821-10-01,26.717,1.248,Colombo,Sri Lanka
1821-11-01,27.224,2.317,Colombo,Sri Lanka
1821-12-01,25.292,1.595,Colombo,Sri Lanka
1822-01-01,24.45,2.883,Colombo,Sri Lanka
1822-02-01,25.188,2.152,Colombo,Sri Lanka
1822-03-01,27.393,1.902,Colombo,Sri Lanka
1822-04-01,27.102,1.415,Colombo,Sri Lanka
1822-05-01,28.405,1.391,Colombo,Sri Lanka
1822-06-01,27.762,1.503,Colombo,Sri Lanka
1822-07-01,26.726,1.145,Colombo,Sri Lanka
1822-08-01,25.494,2.072,Colombo,Sri Lanka
1822-09-01,25.638,1.604,Colombo,Sri Lanka
1822-10-01,26.085,1.255,Colombo,Sri Lanka
1822-11-01,26.201,1.727,Colombo,Sri Lanka
1822-12-01,24.382,2.411,Colombo,Sri Lanka
1823-01-01,24.089,1.655,Colombo,Sri Lanka
1823-02-01,23.792,2.409,Colombo,Sri Lanka
1823-03-01,25.457,1.647,Colombo,Sri Lanka
1823-04-01,27.294,2.346,Colombo,Sri Lanka
1823-05-01,28.441,1.428,Colombo,Sri Lanka
1823-06-01,28.883,2.053,Colombo,Sri Lanka
1823-07-01,27.093,1.356,Colombo,Sri Lanka
1823-08-01,25.788,1.325,Colombo,Sri Lanka
1823-09-01,25.125,1.245,Colombo,Sri Lanka
1823-10-01,26.667,1.749,Colombo,Sri Lanka
1823-11-01,26.363,3.053,Colombo,Sri Lanka
1823-12-01,25.675,2.047,Colombo,Sri Lanka
1824-01-01,24.674,1.446,Colombo,Sri Lanka
1824-02-01,24.117,2.515,Colombo,Sri Lanka
1824-03-01,25.795,1.651,Colombo,Sri Lanka
1824-04-01,27.484,2.115,Colombo,Sri Lanka
1824-05-01,28.573,1.459,Colombo,Sri Lanka
1824-06-01,28.777,2.642,Colombo,Sri Lanka
1824-07-01,28.243,3.127,Colombo,Sri Lanka
1824-08-01,26.421,1.638,Colombo,Sri Lanka
1824-09-01,27.031,1.625,Colombo,Sri Lanka
1824-10-01,26.27,1.662,Colombo,Sri Lanka
1824-11-01,27.342,1.75,Colombo,Sri Lanka
1824-12-01,27.045,2.69,Colombo,Sri Lanka
1825-01-01,24.677,2.515,Colombo,Sri Lanka
1825-02-01,24.316,1.645,Colombo,Sri Lanka
1825-03-01,25.633,2.112,Colombo,Sri Lanka
1825-04-01,27.835,2.289,Colombo,Sri Lanka
1825-05-01,28.57,1.309,Colombo,Sri Lanka
1825-06-01,28.559,1.238,Colombo,Sri Lanka
1825-07-01,26.994,2.13,Colombo,Sri Lanka
1825-08-01,25.729,1.977,Colombo,Sri Lanka
1825-09-01,26.073,1.594,Colombo,Sri Lanka
1825-10-01,26.777,1.752,Colombo,Sri Lanka
1825-11-01,27.821,1.812,Colombo,Sri Lanka
1825-12-01,25.422,1.441,Colombo,Sri Lanka
1826-01-01,24.431,1.491,Colombo,Sri Lanka
1826-02-01,23.194,2.116,Colombo,Sri Lanka
1826-03-01,25.828,1.675,Colombo,Sri Lanka
1826-04-01,27.794,2.465,Colombo,Sri Lanka
1826-05-01,29.495,1.369,Colombo,Sri Lanka
1826-06-01,27.693,2.323,Colombo,Sri Lanka
1826-07-01,27.27,1.271,Colombo,Sri Lanka
1826-08-01,25.575,1.294,Colombo,Sri Lanka
1826-09-01,26.16,1.913,Colombo,Sri Lanka
1826-10-01,27.247,2.18,Colombo,Sri Lanka
1826-11-01,27.845,1.388,Colombo,Sri Lanka
